Year,State,Kidney disease Deaths,Kidney disease Death rate,Alzheimers disease Deaths,Alzheimers disease Death rate,Stroke Deaths,Stroke Death rate,CLRD Deaths,CLRD Death rate,Diabetes Deaths,Diabetes Death rate,Heart disease Deaths,Heart disease Death rate,Influenze and Pneu Deaths,Influenze and Pneu Death rate,Suicide Deaths,Suicide Death rate,Cancer Deaths,Cancer Death rate,Unintentional Injury Deaths,Unintentional Injury Death rate
2017,United States,50633,13,121404,31,146383,37.6,160201,40.9,83564,21.5,647457,165,55672,14.3,47173,14,599108,152.5,169936,49.4
2017,Alabama,980,16.5,2563,45.2,2931,50,3484,57.8,1173,19.8,13110,223.2,1176,20.2,836,16.6,10410,170,2703,53.8
2017,Alaska,54,9.9,98,22.1,190,35.1,204,35.9,130,19.3,814,135,66,11.7,200,27,926,139.2,436,63.7
2017,Arizona,540,6.2,3058,35.1,2681,30.8,3802,42.7,2054,23.7,12398,141.9,876,10.1,1327,18.2,12008,135.8,4184,56.2
2017,Arkansas,725,19.7,1436,39.4,1612,43.8,2517,66.7,1180,32.4,8270,223.8,720,19.8,631,20.8,6517,173.6,1625,51.8
2017,California,3887,8.9,16238,37.1,16355,37.6,13881,32.2,9595,22.1,62797,142.9,6340,14.6,4312,10.5,59516,136.8,13840,33.2
2017,Colorado,503,8.9,1830,34.2,1988,35.8,2604,45.6,1017,17.2,7060,122.7,577,10.1,1181,20.3,7829,131,3037,53.6
2017,Connecticut,554,11.2,1077,20.4,1403,27.8,1471,30.4,694,14.5,7138,141.6,675,13.1,405,10.5,6608,139.6,2078,53.2
2017,Delaware,205,16.1,377,30.6,571,46.2,526,40.8,244,19.1,1990,158.4,184,14.9,112,11.6,2085,160.4,608,61.9
2017,District of Columbia,67,10,125,17.6,246,35.9,137,19.6,138,20.1,1284,189.8,79,11.4,47,6.6,1031,152.8,427,61
2017,Florida,3172,10.1,6980,20.7,12602,38.9,12619,39,6172,20.2,46440,145.8,3057,9.6,3227,14,45131,145.9,13059,56.1
2017,Georgia,1942,18.6,4290,46,4399,43.5,4866,46.2,2348,21.5,18389,175.8,1400,13.8,1451,13.6,17135,154.9,4712,45.2
2017,Hawaii,208,10.7,465,19.7,764,37.5,378,19,299,15.9,2575,129.8,637,29.6,227,15.2,2456,128.6,585,35.7
2017,Idaho,170,9,672,36.6,726,38.5,925,47.3,394,20.3,3084,162.5,255,13.7,392,23.2,3020,153.2,876,49.8
